date,app,campaign_id,campaign,impressions,clicks,installs,installs_ct,conversions,cost,revenue,af_complete_registration,af_purchase,channel
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,32629.0,19.0,7.0,2.0,13.0,8925.488028240003,35200.0,3.0,3.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,1.0,1.0,10.0,,150700.0,,9.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,6.0,,134300.0,,6.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,76891.0,62.0,9.0,5.0,33.0,20675.0638002,329300.0,1.0,23.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,5.0,,31300.0,1.0,4.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,10400.0,,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,34200.0,,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,13100.0,,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,8800.0,,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,18100.0,,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,28900.0,,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,3200.0,,1.0,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,,1.0,,moloco
2023-01-13,ANDROID,ipiJcMSJAyLrHZQl,App_Install,15834.0,36.0,4.0,2.0,11.0,5784.206544840001,56000.0,1.0,6.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,1718474.0,3129.0,426.0,22.0,624.0,509421.89781018003,1435900.0,128.0,70.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,50381.0,96.0,13.0,3.0,99.0,14783.855437740003,1077700.0,9.0,77.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,186877.0,307.0,69.0,3.0,108.0,55264.7792079,334500.0,26.0,13.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,836545.0,3394.0,262.0,37.0,398.0,385424.43580788,996600.0,77.0,59.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,14448.0,26.0,5.0,,15.0,5397.768629340001,144000.0,1.0,9.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,14.0,,159800.0,4.0,10.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,184934.0,732.0,57.0,17.0,79.0,58224.825855719995,69500.0,15.0,7.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,22497.0,57.0,9.0,4.0,13.0,7139.129738219999,,4.0,,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,5.0,,62000.0,,5.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,6.0,,8000.0,,6.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,84593.0,60.0,20.0,2.0,32.0,22571.46843486,126200.0,5.0,7.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,34510.0,68.0,11.0,,15.0,13159.408278000003,6600.0,3.0,1.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,50589.0,106.0,15.0,5.0,76.0,14975.138805420003,687100.0,8.0,53.0,moloco
2023-01-14,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,13.0,,158700.0,1.0,12.0,moloco
